ID,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,instrumentalness,liveness,loudness,mode,popularity,speechiness,tempo
7606,0.32799999999999996,1960,0.547,708,0.27399999999999997,179693,0.348,0,0.0133,0.33399999999999996,-8.631,1,89,0.0293,87.43
7607,0.402,1960,0.8290000000000001,708,0.42100000000000004,196133,0.285,0,1.55e-06,0.233,-9.43,0,82,0.0293,85.861
7608,0.644,1960,0.764,677,0.508,175987,0.287,0,0.0,0.153,-12.472000000000001,1,81,0.0523,154.759
7609,0.836,1960,0.733,677,0.579,131733,0.502,0,0.0,0.281,-7.57,1,81,0.0513,76.816
7610,0.965,1960,0.6990000000000001,1711,0.743,139200,0.799,0,0.0,0.0635,-5.466,0,72,0.0375,116.11200000000001
7611,0.40700000000000003,1960,0.878,1990,0.5529999999999999,165560,0.29100000000000004,0,0.0,0.129,-10.425999999999998,0,69,0.0301,96.21700000000001
7612,0.652,1960,0.7759999999999999,548,0.503,133933,0.182,0,0.0,0.17800000000000002,-16.651,0,70,0.0323,63.684
7613,0.426,1960,0.613,708,0.262,187667,0.35600000000000004,0,0.0,0.175,-8.031,0,71,0.0303,174.176
7614,0.9540000000000001,1960,0.11599999999999999,644,0.7140000000000001,119360,0.8859999999999999,0,0.184,0.18,-8.629,0,74,0.0554,156.351
7615,0.9359999999999999,1960,0.529,1990,0.763,129293,0.5710000000000001,0,0.0,0.154,-10.552,1,68,0.0337,128.211
7616,0.609,1960,0.617,1990,0.48200000000000004,165280,0.569,0,0.0,0.155,-5.897,1,71,0.0328,70.843
7617,0.157,1960,0.948,1200,0.303,258266,0.0141,0,0.0944,0.0792,-19.759,0,69,0.0418,171.43900000000005
7618,0.654,1960,0.772,708,0.642,185627,0.523,0,3.26e-06,0.527,-8.579,1,74,0.11,101.635
7619,0.509,1960,0.772,754,0.536,165760,0.14800000000000002,0,0.0,0.10099999999999999,-14.902999999999999,1,67,0.031,109.295
7620,0.484,1960,0.961,677,0.611,175840,0.247,0,2.74e-06,0.218,-9.038,1,68,0.0419,112.23899999999999
7621,0.35100000000000003,1960,0.9690000000000001,1789,0.373,185000,0.124,0,0.000891,0.12300000000000001,-12.95,1,64,0.0342,86.85700000000001
7622,0.813,1960,0.852,577,0.67,165760,0.596,0,0.00203,0.653,-9.347000000000001,1,67,0.0627,133.39600000000002
7623,0.33799999999999997,1960,0.314,1813,0.833,202693,0.0756,0,0.0,0.111,-20.822,0,68,0.147,136.007
7624,0.856,1960,0.121,644,0.627,118227,0.7,0,0.0111,0.188,-9.657,1,68,0.0522,175.33
7625,0.664,1960,0.614,754,0.5760000000000001,164320,0.321,0,0.0,0.29600000000000004,-11.602,1,64,0.0938,159.226
7626,0.303,1960,0.868,307,0.5579999999999999,161547,0.223,0,0.0009720000000000001,0.13,-12.362,1,67,0.0299,101.711
7627,0.972,1960,0.713,91,0.835,121720,0.652,0,2.13e-05,0.0444,-7.7360000000000015,1,60,0.0776,131.124
7628,0.5770000000000001,1960,0.441,1200,0.431,283440,0.491,0,0.000458,0.134,-10.745999999999999,0,61,0.0562,148.243
7629,0.9490000000000001,1960,0.852,2415,0.488,122933,0.648,0,0.914,0.13,-13.252,1,58,0.0305,156.35
7630,0.48100000000000004,1960,0.768,548,0.64,221413,0.154,0,0.0,0.0551,-14.05,0,61,0.042,126.045
7631,0.512,1960,0.725,708,0.363,175627,0.244,0,8.87e-05,0.456,-8.968,1,61,0.0303,173.50900000000001
7632,0.349,1960,0.892,684,0.435,154533,0.187,0,4.51e-05,0.105,-16.958,1,63,0.0462,116.602
