ID,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,instrumentalness,liveness,loudness,mode,popularity,speechiness,tempo
9606,0.89,1970,0.0936,565,0.743,160333,0.47,0,3.15e-05,0.18600000000000005,-13.154000000000002,1,79,0.028999999999999998,116.12200000000001
9607,0.828,1970,0.0534,2338,0.675,161160,0.597,0,0.0,0.0986,-11.329,1,86,0.0337,108.875
9608,0.961,1970,0.424,2517,0.6920000000000001,144013,0.762,0,1.27e-05,0.18100000000000002,-4.867,1,84,0.0342,146.673
9609,0.797,1970,0.3670000000000001,2738,0.608,205613,0.524,0,0.0025399999999999997,0.115,-10.265999999999998,1,83,0.0309,86.204
9610,0.33799999999999997,1970,0.7659999999999999,1210,0.597,203613,0.271,0,0.0119,0.0933,-17.293,1,83,0.0394,76.271
9611,0.619,1970,0.013000000000000001,1527,0.564,146250,0.932,0,0.16899999999999998,0.349,-10.068,1,86,0.0554,112.93700000000001
9612,0.614,1970,0.263,2517,0.583,181267,0.7120000000000001,0,1.02e-06,0.8170000000000001,-8.222000000000001,1,82,0.0538,128.89700000000002
9613,0.41,1970,0.631,2430,0.44299999999999995,243027,0.40299999999999997,0,0.0,0.111,-8.339,1,87,0.0322,143.46200000000005
9614,0.325,1970,0.828,797,0.5539999999999999,241787,0.315,0,5.53e-06,0.10099999999999999,-11.027999999999999,1,86,0.0298,128.157
9615,0.45399999999999996,1970,4.52e-05,283,0.41200000000000003,168406,0.6579999999999999,0,0.0007740000000000001,0.17600000000000002,-12.050999999999998,0,77,0.0708,163.071
9616,0.68,1970,0.209,94,0.585,180067,0.532,0,0.00797,0.22699999999999998,-9.673,1,78,0.0268,94.461
9617,0.9540000000000001,1970,0.35700000000000004,2225,0.755,174827,0.8759999999999999,0,5.17e-06,0.22,-8.867,1,83,0.0362,102.762
9618,0.5539999999999999,1970,0.376,2834,0.484,200173,0.508,0,0.000791,0.0961,-9.308,1,86,0.0364,151.86700000000005
9619,0.583,1970,0.0972,988,0.537,281227,0.701,0,0.0,0.0832,-8.913,0,85,0.0335,120.919
