ID,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,instrumentalness,liveness,loudness,mode,popularity,speechiness,tempo
3606,0.171,1940,0.68,2159,0.17,246773,0.43,0,0.8540000000000001,0.45899999999999996,-8.326,1,57,0.0357,121.8
3607,0.597,1940,0.983,354,0.5429999999999999,175893,0.182,0,0.000171,0.258,-14.45,0,47,0.0537,142.312
3608,0.8759999999999999,1940,0.871,580,0.513,187400,0.33299999999999996,0,0.0892,0.297,-14.557,0,51,0.10099999999999999,198.665
3609,0.823,1940,0.727,320,0.703,165800,0.72,0,0.016,0.185,-6.975,1,50,0.0292,115.68799999999999
3610,0.629,1940,0.885,499,0.721,222867,0.38299999999999995,0,0.0,0.503,-8.429,1,49,0.659,124.404
3611,0.529,1940,0.971,1645,0.6509999999999999,217933,0.127,0,0.897,0.113,-17.038,1,46,0.0486,89.117
3612,0.873,1940,0.98,1873,0.529,182727,0.213,0,3.07e-06,0.133,-12.48,1,43,0.0464,134.564
3613,0.629,1940,0.885,499,0.721,222867,0.38299999999999995,0,0.0,0.503,-8.429,1,44,0.659,124.404
3614,0.9640000000000001,1940,0.9670000000000001,3275,0.705,153107,0.3,0,0.0603,0.0568,-10.163,0,47,0.297,89.988
3615,0.0399,1940,0.563,2159,0.172,80960,0.493,0,0.871,0.787,-9.217,1,43,0.04,121.454
3616,0.265,1940,0.9229999999999999,2159,0.201,134627,0.281,0,0.884,0.14300000000000002,-13.433,1,42,0.0329,89.323
3617,0.579,1940,0.9840000000000001,3480,0.528,175840,0.126,0,0.449,0.0903,-14.485,1,38,0.0305,103.788
3618,0.823,1940,0.8190000000000001,708,0.615,198000,0.225,0,0.174,0.0803,-13.019,1,41,0.0492,126.838
3619,0.8690000000000001,1940,0.9840000000000001,3275,0.6559999999999999,164280,0.608,0,0.00078,0.15,-9.334,1,44,0.0567,136.934
3620,0.8079999999999999,1940,0.995,3480,0.452,151000,0.255,0,0.743,0.0339,-11.427,0,37,0.0364,140.437
3621,0.153,1940,0.741,2159,0.2,378200,0.24600000000000002,0,0.845,0.392,-14.09,1,41,0.0401,102.21
3622,0.0393,1940,0.821,2159,0.0739,368333,0.249,0,0.884,0.0722,-13.703,1,40,0.0365,80.13600000000002
3623,0.8740000000000001,1940,0.718,320,0.7609999999999999,184800,0.313,0,0.354,0.0752,-11.753,0,39,0.0497,98.20200000000001
3624,0.318,1940,0.929,2159,0.27,141000,0.295,0,0.625,0.35200000000000004,-13.545,1,39,0.0385,79.471
3625,0.965,1940,0.965,3275,0.598,187573,0.368,0,0.0,0.0396,-14.767000000000001,1,41,0.0902,165.804
3626,0.986,1940,0.723,2159,0.8109999999999999,65067,0.44799999999999995,0,0.985,0.0521,-12.139000000000001,1,38,0.0533,119.79299999999999
3627,0.207,1940,0.882,2159,0.26,343933,0.204,0,0.685,0.275,-15.894,1,38,0.0346,128.531
3628,0.9670000000000001,1940,0.852,1936,0.782,152827,0.664,0,0.03,0.0783,-13.267000000000001,1,40,0.0469,116.70700000000001
3629,0.846,1940,0.7979999999999999,2159,0.621,77333,0.28800000000000003,0,0.753,0.494,-14.69,1,38,0.0399,126.693
3630,0.321,1940,0.847,772,0.275,115426,0.324,0,0.914,0.20800000000000002,-15.921,0,37,0.0413,128.876
3631,0.131,1940,0.828,2159,0.141,245240,0.299,0,0.879,0.33899999999999997,-12.623,0,37,0.04,74.916
3632,0.0398,1940,0.799,2159,0.105,152267,0.36200000000000004,0,0.878,0.252,-10.106,0,37,0.0357,90.48100000000001
3633,0.946,1940,0.5770000000000001,3275,0.723,176827,0.41700000000000004,0,0.0,0.414,-10.9,0,41,0.0854,82.249
3634,0.643,1940,0.973,3364,0.504,179667,0.19,0,0.0036899999999999997,0.0909,-9.691,0,35,0.0305,67.086
3635,0.4270000000000001,1940,0.77,2159,0.28,167893,0.6709999999999999,0,0.899,0.24100000000000002,-7.7010000000000005,0,36,0.0403,118.649
3636,0.0395,1940,0.667,2159,0.156,354933,0.26899999999999996,0,0.8690000000000001,0.19699999999999998,-12.474,1,36,0.0345,83.984
3637,0.354,1940,0.982,3480,0.391,182840,0.21,0,0.0072099999999999985,0.127,-11.345999999999998,1,34,0.0305,94.709
3638,0.81,1940,0.9670000000000001,3131,0.5329999999999999,185835,0.602,0,0.0,0.401,-6.254,0,38,0.155,91.60799999999999
3639,0.0403,1940,0.7879999999999999,2159,0.0818,281707,0.205,0,0.897,0.23199999999999998,-15.333,1,36,0.036000000000000004,83.541
3640,0.9690000000000001,1940,0.7290000000000001,1936,0.696,177464,0.742,0,1.02e-06,0.07,-8.925,0,38,0.22399999999999998,93.595
3641,0.0379,1940,0.8140000000000001,2159,0.187,326667,0.259,0,0.909,0.157,-14.27,1,34,0.0385,62.95
3642,0.14400000000000002,1940,0.82,2159,0.0648,163667,0.217,0,0.146,0.298,-17.455,1,35,0.0403,48.773999999999994
3643,0.953,1940,0.993,391,0.602,158760,0.616,0,0.00010800000000000001,0.0985,-6.341,1,31,0.0821,126.12299999999999
3644,0.0469,1940,0.9520000000000001,1645,0.14800000000000002,187427,0.0516,0,0.938,0.141,-18.07,1,33,0.0368,85.588
3645,0.0387,1940,0.7290000000000001,2159,0.17,188000,0.185,0,0.847,0.282,-14.036,1,34,0.0361,83.75399999999998
3646,0.139,1940,0.8009999999999999,2159,0.0998,177560,0.307,0,0.773,0.1,-11.273,1,34,0.0355,89.867
3647,0.823,1940,0.9520000000000001,1873,0.69,158851,0.5589999999999999,0,3.73e-05,0.10300000000000001,-11.392999999999999,1,32,0.473,88.536
3648,0.0655,1940,0.852,2159,0.171,285800,0.24100000000000002,0,0.77,0.0886,-15.294,1,34,0.0379,137.235
3649,0.287,1940,0.929,2159,0.431,53333,0.324,0,0.935,0.228,-17.134,0,33,0.048,142.43200000000004
3650,0.0884,1940,0.879,772,0.109,107359,0.00176,0,0.0009429999999999999,0.115,-35.146,1,35,0.0429,92.27799999999999
3651,0.36200000000000004,1940,0.32799999999999996,707,0.5820000000000001,323467,0.316,0,0.696,0.536,-15.309000000000001,0,34,0.061,91.23200000000001
3652,0.355,1940,0.836,2159,0.252,152467,0.363,0,0.9259999999999999,0.1,-10.532,0,33,0.0337,151.695
3653,0.531,1940,0.963,707,0.494,255560,0.0493,0,0.899,0.114,-18.755,1,33,0.11599999999999999,82.417
3654,0.779,1940,0.768,1936,0.619,130835,0.35200000000000004,0,5.17e-06,0.185,-13.645999999999999,1,36,0.071,90.805
3655,0.5579999999999999,1940,0.722,707,0.5870000000000001,142627,0.556,0,0.353,0.682,-16.121,0,33,0.22399999999999998,98.809
3656,0.385,1940,0.961,772,0.408,104133,0.0109,0,0.8109999999999999,0.0969,-35.686,0,35,0.033,88.209
3657,0.0433,1940,0.39,2159,0.0776,231373,0.191,0,0.89,0.124,-17.012,1,33,0.0389,82.251
3658,0.4270000000000001,1940,0.946,707,0.314,217373,0.168,0,0.8009999999999999,0.81,-21.64,1,33,0.0982,78.142
3659,0.8190000000000001,1940,0.9490000000000001,1873,0.47200000000000003,187115,0.456,0,4.6899999999999995e-05,0.0811,-9.211,1,31,0.0555,152.638
3660,0.623,1940,0.779,707,0.618,273400,0.35700000000000004,0,0.708,0.156,-17.824,0,32,0.231,158.498
3661,0.418,1940,0.945,355,0.639,186893,0.131,0,1.1400000000000001e-05,0.105,-12.66,1,34,0.0489,144.65200000000004
3662,0.39399999999999996,1940,0.805,707,0.29100000000000004,258827,0.14800000000000002,0,0.73,0.565,-25.136999999999997,1,32,0.0613,69.464
3663,0.882,1940,0.9790000000000001,3364,0.635,170600,0.39,0,0.737,0.0801,-7.625,1,33,0.0296,110.758
3664,0.67,1940,0.759,707,0.535,232267,0.29100000000000004,0,0.725,0.369,-18.961,1,32,0.16699999999999998,168.854
3665,0.498,1940,0.97,357,0.65,173067,0.152,0,0.00115,0.4320000000000001,-13.190999999999999,0,35,0.0406,112.103
3666,0.151,1940,0.9690000000000001,1645,0.281,176760,0.132,0,0.898,0.11199999999999999,-15.960999999999999,0,32,0.0316,87.084
3667,0.409,1940,0.866,707,0.5720000000000001,218667,0.349,0,0.917,0.278,-19.764,1,32,0.107,96.022
3668,0.6,1940,0.747,707,0.5920000000000001,193640,0.483,0,0.92,0.306,-16.327,1,32,0.0836,103.73200000000001
3669,0.757,1940,0.968,322,0.6990000000000001,194773,0.36200000000000004,0,0.18100000000000002,0.11900000000000001,-8.304,0,33,0.0618,165.805
3670,0.631,1940,0.809,707,0.53,253507,0.406,0,0.802,0.302,-18.361,1,30,0.263,111.17200000000001
3671,0.7709999999999999,1940,0.9059999999999999,320,0.777,183107,0.36200000000000004,0,0.0555,0.0918,-11.007,1,32,0.0394,105.95299999999999
3672,0.8170000000000001,1940,0.898,322,0.78,194373,0.47,0,0.7509999999999999,0.066,-9.387,0,32,0.0356,104.884
3673,0.157,1940,0.9570000000000001,708,0.41600000000000004,195200,0.22899999999999998,0,0.8859999999999999,0.0825,-11.915999999999999,1,30,0.032,77.594
3674,0.386,1940,0.624,707,0.5479999999999999,167667,0.414,0,0.823,0.675,-17.113,0,31,0.129,106.898
3675,0.7070000000000001,1940,0.9790000000000001,223,0.838,158493,0.213,0,0.00047000000000000004,0.10800000000000001,-15.875,1,29,0.203,100.315
3676,0.336,1940,0.922,707,0.498,311200,0.209,0,0.7909999999999999,0.264,-18.428,0,31,0.113,92.337
3677,0.736,1940,0.695,322,0.687,182573,0.38299999999999995,0,0.00011100000000000001,0.131,-12.929,0,32,0.0588,105.70299999999999
3678,0.9329999999999999,1940,0.701,320,0.606,172907,0.43799999999999994,0,0.364,0.10300000000000001,-10.127,1,33,0.0316,100.05
3679,0.893,1940,0.585,320,0.677,175227,0.552,0,0.00411,0.149,-12.205,1,33,0.0285,110.589
3680,0.371,1940,0.6940000000000001,707,0.608,275133,0.618,0,0.307,0.435,-14.925999999999998,0,30,0.13699999999999998,110.73700000000001
3681,0.34299999999999997,1940,0.9279999999999999,707,0.664,311560,0.16699999999999998,0,0.489,0.84,-16.343,0,30,0.0523,84.01799999999999
3682,0.517,1940,0.797,707,0.47,169173,0.391,0,0.888,0.363,-17.84,1,30,0.126,179.415
3683,0.6459999999999999,1940,0.9940000000000001,3480,0.544,170493,0.115,0,0.0453,0.311,-14.907,1,29,0.0456,114.34
3684,0.6609999999999999,1940,0.802,707,0.633,253893,0.193,0,0.8390000000000001,0.253,-18.136,1,31,0.0478,95.7
3685,0.795,1940,0.9840000000000001,3480,0.379,129840,0.172,0,0.00256,0.364,-14.0,1,29,0.036000000000000004,74.729
3686,0.597,1940,0.865,707,0.518,218933,0.266,0,0.775,0.89,-18.479,0,29,0.113,91.699
3687,0.708,1940,0.992,3480,0.55,174000,0.179,0,0.10800000000000001,0.0938,-11.845,1,31,0.034,111.15299999999999
3688,0.723,1940,0.955,1645,0.684,143667,0.335,0,0.9179999999999999,0.111,-14.039000000000001,0,31,0.0578,103.10799999999999
3689,0.616,1940,0.973,353,0.609,195027,0.105,0,0.00511,0.11599999999999999,-15.245999999999999,0,32,0.0344,108.679
3690,0.687,1940,0.81,707,0.604,290893,0.27399999999999997,0,0.847,0.37799999999999995,-19.637,1,30,0.29100000000000004,171.157
3691,0.513,1940,0.94,579,0.591,137373,0.298,0,0.252,0.18100000000000002,-15.614,1,30,0.0555,94.88600000000001
3692,0.336,1940,0.977,3480,0.33399999999999996,178827,0.13,0,0.0824,0.306,-14.17,1,29,0.0316,71.539
3693,0.9390000000000001,1940,0.733,1936,0.716,160354,0.541,0,0.000121,0.10400000000000001,-10.762,1,33,0.172,88.87200000000001
3694,0.223,1940,0.978,355,0.447,191733,0.0433,0,6.15e-06,0.0843,-13.787,0,29,0.0369,114.87700000000001
3695,0.772,1940,0.695,3275,0.573,359107,0.5539999999999999,0,0.0,0.263,-7.632999999999999,1,33,0.0426,155.095
3696,0.493,1940,0.828,707,0.5670000000000001,203533,0.563,0,0.7659999999999999,0.9570000000000001,-16.316,0,30,0.37799999999999995,93.34
3697,0.387,1940,0.981,355,0.524,197893,0.0325,0,1.4800000000000002e-05,0.0989,-13.360999999999999,1,29,0.0352,134.889
3698,0.597,1940,0.955,707,0.40299999999999997,140427,0.253,0,0.956,0.924,-20.078,0,28,0.254,106.345
3699,0.7340000000000001,1940,0.898,580,0.423,175333,0.41,0,0.20199999999999999,0.09699999999999999,-14.067,1,31,0.0492,179.63
3700,0.435,1940,0.983,354,0.506,237173,0.0903,0,0.00028,0.48700000000000004,-14.550999999999998,0,33,0.0357,110.037
3701,0.435,1940,0.9740000000000001,354,0.552,179227,0.0985,0,0.0,0.11900000000000001,-12.220999999999998,1,29,0.0374,107.67
3702,0.746,1940,0.9179999999999999,1645,0.769,179640,0.135,0,0.503,0.158,-13.269,0,30,0.0439,80.133
3703,0.42100000000000004,1940,0.993,2112,0.537,86787,0.0517,0,0.899,0.11800000000000001,-22.535,0,29,0.19699999999999998,66.854
3704,0.659,1940,0.8320000000000001,1475,0.565,346067,0.469,0,0.7140000000000001,0.932,-15.148,1,30,0.146,112.463
3705,0.135,1940,0.99,710,0.36200000000000004,201467,0.0889,0,0.159,0.0831,-15.520999999999999,1,31,0.0313,72.92399999999998
