ID,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,instrumentalness,liveness,loudness,mode,popularity,speechiness,tempo
0,0.0594,1921,0.982,511,0.27899999999999997,831667,0.21100000000000002,0,0.878,0.665,-20.096,1,30,0.0366,80.954
1,0.963,1921,0.732,118,0.8190000000000001,180533,0.341,0,0.0,0.16,-12.440999999999999,1,32,0.415,60.93600000000001
2,0.0394,1921,0.961,354,0.32799999999999996,500062,0.166,0,0.9129999999999999,0.10099999999999999,-14.85,1,32,0.0339,110.339
3,0.165,1921,0.9670000000000001,175,0.275,210000,0.309,0,2.7699999999999996e-05,0.381,-9.316,1,29,0.0354,100.109
4,0.253,1921,0.9570000000000001,464,0.418,166693,0.193,0,1.68e-06,0.22899999999999998,-10.096,1,27,0.038,101.665
5,0.196,1921,0.579,354,0.6970000000000001,395076,0.34600000000000003,0,0.168,0.13,-12.505999999999998,1,33,0.07,119.824
6,0.406,1921,0.996,345,0.518,159507,0.203,0,0.0,0.115,-10.589,1,30,0.0615,66.221
7,0.0731,1921,0.993,520,0.389,218773,0.08800000000000001,0,0.527,0.363,-21.090999999999998,0,27,0.0456,92.867
8,0.721,1921,0.996,300,0.485,161520,0.13,0,0.151,0.10400000000000001,-21.50800000000001,0,25,0.0483,64.678
9,0.7709999999999999,1921,0.982,157,0.684,196560,0.257,0,0.0,0.504,-16.415,1,25,0.39899999999999997,109.37799999999999
10,0.826,1921,0.995,398,0.46299999999999997,147133,0.26,0,0.0,0.258,-16.894000000000002,1,25,0.0557,85.146
11,0.578,1921,0.9940000000000001,300,0.37799999999999995,155413,0.115,0,0.9059999999999999,0.11,-27.039,0,25,0.0414,70.37
12,0.493,1921,0.99,251,0.315,190800,0.363,0,0.0,0.292,-12.562000000000001,0,25,0.0546,174.532
13,0.212,1921,0.912,401,0.415,184973,0.42,0,0.89,0.10800000000000001,-10.765999999999998,0,25,0.114,70.758
14,0.493,1921,0.0175,595,0.527,205072,0.691,1,0.384,0.358,-7.297999999999999,1,25,0.0326,159.935
15,0.282,1921,0.9890000000000001,515,0.384,221013,0.171,0,0.82,0.11599999999999999,-20.476,0,30,0.0319,107.698
16,0.218,1921,0.9570000000000001,464,0.259,186467,0.212,0,0.0002220000000000001,0.23600000000000002,-13.3,1,26,0.0358,85.726
17,0.664,1921,0.996,286,0.541,250747,0.28300000000000003,0,0.898,0.39299999999999996,-14.808,1,25,0.0477,108.986
18,0.0778,1921,0.14800000000000002,534,0.604,204957,0.418,1,0.0382,0.102,-11.565999999999999,0,25,0.0417,80.07300000000002
19,0.527,1921,0.971,105,0.54,122000,0.0848,0,0.00196,0.0887,-16.055,0,25,0.075,100.296
20,0.672,1921,0.9940000000000001,157,0.67,191333,0.113,0,0.0,0.213,-16.57,0,25,0.196,87.162
21,0.24,1921,0.9940000000000001,344,0.4,187333,0.155,0,4.33e-05,0.10300000000000001,-13.975999999999999,1,25,0.0873,170.25099999999995
22,0.42200000000000004,1921,0.995,300,0.648,154240,0.0995,0,0.846,0.11199999999999999,-22.429000000000002,1,25,0.105,71.97800000000002
23,0.381,1921,0.995,280,0.223,158908,0.245,0,0.8759999999999999,0.354,-14.387,1,25,0.0387,142.136
24,0.41,1921,0.97,401,0.26899999999999996,86988,0.14300000000000002,0,0.469,0.166,-9.003,1,25,0.0413,141.386
25,0.0731,1921,0.993,520,0.389,218773,0.08800000000000001,0,0.527,0.363,-21.090999999999998,0,25,0.0456,92.867
26,0.6779999999999999,1921,0.996,398,0.5,181733,0.27399999999999997,0,0.0,0.302,-14.001,1,25,0.040999999999999995,79.218
27,0.723,1921,0.38799999999999996,401,0.685,155063,0.698,0,1.97e-06,0.0768,-8.184,0,25,0.0421,133.951
28,0.792,1921,0.99,157,0.665,203800,0.231,0,0.0,0.287,-14.116,1,25,0.155,129.671
29,0.425,1921,0.992,300,0.28600000000000003,130200,0.177,0,0.932,0.11,-25.772,1,25,0.0431,167.352
30,0.40299999999999997,1921,0.992,300,0.332,166987,0.179,0,4.41e-06,0.4320000000000001,-20.936999999999998,1,25,0.0443,75.704
31,0.614,1921,0.991,300,0.484,159013,0.215,0,0.000546,0.13699999999999998,-22.22300000000001,0,25,0.106,76.277
32,0.185,1921,0.505,354,0.233,686664,0.00817,0,0.00020299999999999997,0.109,-37.311,1,32,0.0305,108.14299999999999
33,0.47,1921,0.7659999999999999,401,0.45299999999999996,337607,0.5589999999999999,0,0.0104,0.213,-8.072000000000001,1,26,0.0329,156.077
34,0.161,1921,0.384,401,0.65,187977,0.44299999999999995,0,0.0,0.375,-9.478,0,25,0.0334,130.009
35,0.7909999999999999,1921,0.991,144,0.465,151187,0.284,0,0.0225,0.146,-17.776,1,25,0.0591,98.336
36,0.0608,1921,0.975,354,0.37,401058,0.196,0,0.945,0.14300000000000002,-15.530999999999999,1,26,0.0449,116.65
37,0.077,1921,0.9940000000000001,515,0.248,117467,0.0876,0,0.907,0.165,-25.785999999999998,1,26,0.0566,82.025
38,0.6509999999999999,1921,0.992,398,0.522,170627,0.29,0,0.0,0.381,-12.194,0,25,0.0522,92.70700000000001
39,0.0594,1921,0.982,511,0.27899999999999997,831667,0.21100000000000002,0,0.878,0.665,-20.096,1,26,0.0366,80.954
40,0.544,1921,0.185,534,0.5770000000000001,404062,0.42200000000000004,1,0.0349,0.17800000000000002,-11.107999999999999,1,25,0.0575,79.997
41,0.257,1921,0.9690000000000001,105,0.344,120067,0.131,0,0.0,0.145,-14.261,0,25,0.0616,178.21200000000005
42,0.525,1921,0.258,401,0.6890000000000001,145371,0.537,0,4.4e-06,0.0468,-9.843,0,25,0.0282,107.84
43,0.449,1921,0.765,401,0.474,256731,0.39799999999999996,0,0.0036799999999999997,0.20199999999999999,-9.565,1,25,0.0309,75.931
